ID;Nama;Gender;Age;Height;Weight;Active;Fruit;Healthy;Sweetness;Saltiness;Sourness;Bitterness;Savoriness;Fattiness;Spiciness;Fried Rice - Chinese comfort food;Meatball Vegetable Soup;Chicken Satay;Simple Rendang;Chicken Porridge;Honey-Glazed Grilled Chicken;Chinese Style Chicken and Noodle Stir Fry;Monastery soup;My Asian Fried Fish Fillet;Pan-Fried Stuffed Tofu With Oyster Sauce;Grilled Duck;Autumn Salad;Japanese Sushi;Beef Tenderloin Steaks with Seared Mushrooms and Red Wine Vinaigrette;Vegetable Noodles;Chocolate Oatmeal;Creamy Curry Chicken With Yellow Rice;Thai Fish Cakes;Crispy Chicken Burger;An American Beef Burger;The Perfect Scrambled Eggs - Every Time;Smoked Salmon Fettuccine;Kare Katsu;Easy Crispy Oven Chicken;Mushroom Quesadillas;Lasagna Silvia;Chicken Wings;Crispy Fried Perch Fillets;Coconut Curry Ramen Noodles;Cheesy Beef Burrito;Best Chicken Parmesan;Beef Wellington;Chicken Cordon Bleu;Butter Chicken;Chicken Teriyaki with Soba Noodles;BLT Pizza;Grilled Salmon With Mango Salsa;Creamy Alfredo and Shrimp Pasta;Shrimp Tacos with Avocado, Grapefruit, and Creamy Cilantro Sauce;Chicken Caesar Salad;Nutella Stuffed French Toast;Spaghetti With Bolognese Sauce;BBQ Mac and Cheese;Bbq Chicken;Lemon - Garlic Chicken
51;Unknown;Male;21;176;70;Light activity;2;4;2.006029545;3.759168182;1.274765909;1.169577273;2.448338636;3.261547727;0.038258135;5;5;5;5;5;5;5;5;5;5;5;2;0;5;2;1;5;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;5;4;4;4;1;4;4;4;4;4
52;Unknown;Male;21;168;60;Not active;2;3;1.666875556;3.038591111;1.023575556;0.985728889;2.00442;2.619642222;0.034638562;4;3;5;5;4;5;4;4;5;5;5;3;3;5;3;4;4;4;4;4;3;3;3;4;3;3;3;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
53;Unknown;Female;20;160;42;Moderate active;2;4;1.029173333;1.762057778;0.554702222;0.560751111;1.138184444;1.542113333;0.010495092;4;4;4;1;4;2;5;5;3;3;2;1;1;1;4;1;5;3;1;1;4;1;3;1;1;1;3;4;1;1;2;1;1;1;1;1;1;1;1;1;3;1;1;3;1
54;Unknown;Female;22;156;68;Light activity;1;1;1.943393333;3.495595556;1.262851111;1.149755556;2.372722222;3.065217778;0.033951498;4;3;4;5;5;5;5;2;5;3;4;3;5;5;5;3;4;5;5;4;4;5;5;5;1;3;3;4;5;2;3;5;5;5;5;5;5;5;3;3;4;5;5;4;4
55;Unknown;Male;21;165;90;Light activity;2;3;2.354159091;4.314102273;1.479840909;1.424045455;2.857909091;3.626125;0.041379007;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;0;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
56;Unknown;Female;21;150;51;Light activity;2;3;1.46886;2.776595556;0.8402;0.811422222;1.804217778;2.287308889;0.023335911;4;5;4;4;4;5;4;5;3;5;4;1;2;4;3;2;3;1;3;4;5;1;4;3;1;1;5;5;3;1;3;3;3;2;4;4;4;2;1;1;5;1;1;5;4
57;Unknown;Female;20;154;49;Moderate active;1;2;1.868131111;3.293393333;1.184053333;1.069651111;2.173386667;2.871548889;0.033511831;5;5;5;5;3;2;5;5;5;3;2;3;2;4;5;2;5;5;5;4;3;3;5;5;3;5;2;5;5;2;5;2;5;5;5;5;5;2;2;2;5;3;3;3;5
58;Unknown;Female;20;158;58;Not active;1;1;1.525337778;2.698562222;0.960311111;0.904697778;1.769746667;2.327355556;0.025137518;3;3;3;3;3;4;3;3;3;3;4;5;3;3;3;4;3;4;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;2;3;3
59;Unknown;Female;21;163;52;Light activity;3;3;1.562484444;2.769811111;1.000811111;0.938468889;1.8425;2.402193333;0.02893974;3;4;3;4;3;3;3;4;4;3;3;3;3;3;3;3;3;3;4;3;3;4;3;3;3;3;3;3;3;3;3;3;3;4;4;3;3;3;4;4;4;3;4;4;4
60;Unknown;Female;21;160;57;Active;2;2;1.960193333;3.497004444;1.302702222;1.225457778;2.351542222;3.066471111;0.033756276;4;3;4;5;5;4;5;4;4;3;4;3;4;5;5;5;5;5;4;5;2;5;4;5;3;5;3;5;5;2;4;5;4;5;4;3;5;5;5;3;3;5;5;3;5
